title,company,location,category,job_type,deadline,salary,url,salary_disclosed,days_until_deadline,job_type_encoded,location_encoded,category_encoded,deadline_status
Receptionist,Narin Beauty Center,Duhok,Customer Service/Support,Full time,2026-04-11,Not disclosed,https://jobs.krd/explore-jobs/Receptionist-2971,0,-36,1,0,3,0
Freelance Videographer,BiKurdini,Duhok,Marketing,Part time,2026-04-08,Not disclosed,https://jobs.krd/explore-jobs/Freelance-Videographer-2957,0,-39,2,0,15,0
Sales & Account Manager,Wade Company,Sulaymaniyah,Sales,Full time,2026-04-05,Not disclosed,https://jobs.krd/explore-jobs/Sales-&-Account-Manager-2967,0,-42,1,5,21,0
Senior Marketing Manager,Wade Company,Erbil,Marketing,Full time,2026-04-05,Not disclosed,https://jobs.krd/explore-jobs/Senior-Marketing-Manager-2968,0,-42,1,1,15,0
Chef Assistant,Fama Cafe,Duhok,Operations/Production,Full time,2026-04-05,Not disclosed,https://jobs.krd/explore-jobs/Chef-Assistant-2970,0,-42,1,0,17,0
Sales Coordinator,Al Usool General Trading Co. Ltd. (AUGT),Erbil,Sales,Full time,2026-04-06,Not disclosed,https://jobs.krd/explore-jobs/Sales-Coordinator-2964,0,-41,1,1,21,0
Architecture Engineer,Zhinova,Erbil,Engineering,Full time,2026-04-05,Not disclosed,https://jobs.krd/explore-jobs/Architecture-Engineer-2965,0,-42,1,1,6,0
HR officer,BGT Company,Erbil,Human Resources,Full time,2026-04-09,Not disclosed,https://jobs.krd/explore-jobs/HR-officer-2962,0,-38,1,1,12,0
Flutter Developer,Wade Company,Erbil,Information Technology (IT),Full time,2026-04-05,Not disclosed,https://jobs.krd/explore-jobs/Flutter-Developer-2960,0,-42,1,1,13,0
Managing Director,JOBS.KRD Careers,Erbil,Human Resources,Full time,2026-04-02,Not disclosed,https://jobs.krd/explore-jobs/Managing-Director-2961,0,-45,1,1,12,0
Costumer Service,ND Phone,Duhok,Unknown,Part time,2026-04-01,Not disclosed,https://jobs.krd/explore-jobs/Costumer-Service-2959,0,-46,2,0,28,0
Smartphone Software Technician,ND Phone,Duhok,Information Technology (IT),Full time,2026-04-02,Not disclosed,https://jobs.krd/explore-jobs/Programmer-2958,0,-45,1,0,13,0
Call Center Agent,Shahan Al-Alamiya,Sulaymaniyah,Customer Service/Support,Full time,2026-04-14,Not disclosed,https://jobs.krd/explore-jobs/Call-Center-Agent-2956,0,-33,1,5,3,0
Partnership Manager,Visit Kurdistan,Erbil,Strategic Partnerships,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Partnership-Manager-2954,0,-47,1,1,24,0
Operations Manager – Digital Platform,Visit Kurdistan,Erbil,Operations/Production,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Operations-Manager-–-Digital-Platform-2953,0,-47,1,1,17,0
Operations Manager – Physical Assets,Visit Kurdistan,Erbil,Operations/Production,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Operations-Manager-–-Physical-Assets-2952,0,-47,1,1,17,0
Operations Coordinator,Visit Kurdistan,Erbil,Operations/Production,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Operations-Coordinator-2951,0,-47,1,1,17,0
Business Development Manager,Visit Kurdistan,Erbil,Business Development,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Business-Development-Manager-2950,0,-47,1,1,1,0
Sales Representative,Patchi,Erbil,Sales,Full time,2026-04-27,Not disclosed,https://jobs.krd/explore-jobs/Sales-representative-2949,0,-20,1,1,21,0
Graphic Designer &Video Editor,Deyari Group,Duhok,Marketing,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-and-Video-editor-2955,0,-47,1,0,15,0
Sales Coordinator,Al Usool General Trading Co. Ltd. (AUGT),Erbil,Sales,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Sales-Coordinator.-2947,0,-47,1,1,21,0
Brand Face,ZB Gifts,Duhok,Marketing,Part time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Brand-Face-2946,0,-47,2,0,15,0
Travel Clerk,UFLY Travel,Duhok,Travel And Tourism,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Travel-Clerk-2945,0,-47,1,0,27,0
Marketing Specialist,Origami,Erbil,Marketing,Part time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Specialist-2944,0,-47,2,1,15,0
ERP Functional Consultant,Origami,Erbil,Unknown,Full time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/ERP-Functional-Consultant-2943,0,-47,1,1,28,0
Logistics Distribution Manager,JOBS.KRD Client 32,Erbil,Operations/Production,Full time,2026-03-30,Not disclosed,https://jobs.krd/explore-jobs/Logistics-Distribution-Manager-2942,0,-48,1,1,17,0
Digital Media Manager,JOBS.KRD Client 32,Erbil,Marketing,Full time,2026-03-30,Not disclosed,https://jobs.krd/explore-jobs/Digital-Media-Manager-2941,0,-48,1,1,15,0
Graphic Designer,JOBS.KRD Client 32,Erbil,Marketing,Full time,2026-03-30,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-2940,0,-48,1,1,15,0
Marketing Manager,JOBS.KRD Client 32,Erbil,Marketing,Full time,2026-03-30,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Manager-2939,0,-48,1,1,15,0
Graphic Designer & Video Editor,Delta Communication,Erbil,Unknown,Full time,2026-03-31,"{'id': 1, 'name': 'IQD'} 0.00–0.00 / Monthly",https://jobs.krd/explore-jobs/Graphic-Designer-&-Video-Editor-2938,1,-47,1,1,28,0
Architecture Engineer,Leaders Guide,Sulaymaniyah,Engineering,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Architecture-Engineer-2937,0,-54,1,5,6,0
Freelance Marketing Officer,Hope Center,Erbil,Marketing,Part time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Freelance-Marketing-Officer-2934,0,-54,2,1,15,0
HR Officer,BGT Company,Erbil,Human Resources,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/HR-Officer-2935,0,-54,1,1,12,0
Lawyer,Najmadin Group,Sulaymaniyah,Legal,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Lawyer-2936,0,-54,1,5,14,0
Managing Director,JOBS.KRD Careers,Erbil,Human Resources,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Managing-Director-2933,0,-54,1,1,12,0
Purchasing Officer,Mal H Group,Erbil,Operations/Production,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Purchasing-Officer-2932,0,-54,1,1,17,0
Accountant,Mal H Group,Erbil,Finance,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Accountant-2931,0,-54,1,1,9,0
Cost Controller,Mal H Group,Erbil,Finance,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Cost-Controller-2930,0,-54,1,1,9,0
HR Officer,Mal H Group,Erbil,Human Resources,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/HR-Officer-2929,0,-54,1,1,12,0
Accountant,Muhanad Group (Erbil HQ),Erbil,Finance,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Accountant-2928,0,-54,1,1,9,0
Marketing Manager,HBH Group,Erbil,Marketing,Full time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Manager-2927,0,-54,1,1,15,0
Cosmetics Sales Employee,SAVY PHARMACY,Duhok,Sales,Part time,2026-03-24,Not disclosed,https://jobs.krd/explore-jobs/Cosmetic-employe-2926,0,-54,2,0,21,0
IT Specialist (Control Room),Arena Erbil,Erbil,Information Technology (IT),Full time,2026-03-21,Not disclosed,https://jobs.krd/explore-jobs/IT-Specialist-2924,0,-57,1,1,13,0
Accountant,London Sky for Travel and Tourism,Erbil,Finance,Full time,2026-03-19,950000.00–1000000.00 / Monthly,https://jobs.krd/explore-jobs/Accountant-2923,1,-59,1,1,9,0
Procurement Supervisor,FABYAB CO.,Erbil,Unknown,Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/Procurement-Supervisor-2922,0,-60,1,1,28,0
Communications Officer (Arabic Language),KRD Holding,Erbil,Public Relations (PR),Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/Arabic-Communications-Officer-2918,0,-60,1,1,19,0
Partnerships Officer,KRD Holding,Erbil,Strategic Partnerships,Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/Partnerships-Officer-2919,0,-60,1,1,24,0
Communications Officer,JOBS.KRD Careers,Erbil,Communications,Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/Communications-Officer-2920,0,-60,1,1,2,0
Social Media Specialist,Shahan Al-Alamiya,Sulaymaniyah,Marketing,Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/Social-Media-Specialist-2921,0,-60,1,5,15,0
Senior Accountant,JOBS.KRD Client 31,Sulaymaniyah,Finance,Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/Senior-Accountant-2917,0,-60,1,5,9,0
Business Solution Sales Supervisor,JOBS.KRD Client 6,Erbil,Sales,Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/Business-Solution-Sales-Supervisor-2916,0,-60,1,1,21,0
B2B Sales Supervisor,JOBS.KRD Client 6,Erbil,Sales,Full time,2026-03-18,Not disclosed,https://jobs.krd/explore-jobs/B2B-Sales-Supervisor-2915,0,-60,1,1,21,0
Procurement Officer,Medya Diagnostic Center,Erbil,Operations/Production,Full time,2026-03-10,Not disclosed,https://jobs.krd/explore-jobs/Procurement-Officer-2914,0,-68,1,1,17,0
Handcraft Specialist,Maad Center,Sulaymaniyah,Education,Full time,2026-03-17,Not disclosed,https://jobs.krd/explore-jobs/Handcraft-Specialist-2913,0,-61,1,5,5,0
Security Guard,INTENSE SECURITY,Erbil,Administration/Operations,Part time,2026-03-17,500000.00–600000.00 / Monthly,https://jobs.krd/explore-jobs/پاسەوانی-تایبەت-بۆ-پرۆژەکانی-وەك-مۆڵ-و-شار-و-شاری-یاری-2912,1,-61,2,1,0,0
Sales Representative,Al-Ehsan,Erbil,Sales,Full time,2026-03-17,Not disclosed,https://jobs.krd/explore-jobs/نوێنەری-فرۆشتن-(-کاشڤان-)-2906,0,-61,1,1,21,0
Data Analyst,Bahar Holding,Duhok,Data Analytics,Full time,2026-03-16,Not disclosed,https://jobs.krd/explore-jobs/Data-Analyst-2910,0,-62,1,0,4,0
Veterinarian – Sales & Technical Officer,Vano Group,Erbil,Sales,Full time,2026-03-16,Not disclosed,https://jobs.krd/explore-jobs/veterinarian-–-Sales-&-Technical-Officer-2907,0,-62,1,1,21,0
Data Analyst,Bahar Holding,Erbil,Data Analytics,Full time,2026-03-16,Not disclosed,https://jobs.krd/explore-jobs/Data-Analyst-2908,0,-62,1,1,4,0
Data Analyst,Bahar Holding,Sulaymaniyah,Data Analytics,Full time,2026-03-16,Not disclosed,https://jobs.krd/explore-jobs/Data-Analyst-2909,0,-62,1,5,4,0
Digital Print Specialist,Maad Center,Erbil,Operations/Production,Full time,2026-03-16,Not disclosed,https://jobs.krd/explore-jobs/Digital-Print-Specialist-2905,0,-62,1,1,17,0
Recruitment & Talent Acquisition Manager,KRD Holding,Erbil,Human Resources,Full time,2026-03-16,Not disclosed,https://jobs.krd/explore-jobs/Recruitment-&-Talent-Acquisition-Manager-2904,0,-62,1,1,12,0
Planning Officer,FABYAB CO.,Erbil,Strategic Planning,Full time,2026-03-16,Not disclosed,https://jobs.krd/explore-jobs/Planning-Officer-2903,0,-62,1,1,25,0
L&D & Employee Development Manager,KRD Holding,Erbil,Human Resources,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/L&D-&-Employee-Development-Manager-2902,0,-63,1,1,12,0
Receptionist (Female),Arena Erbil,Erbil,Customer Service/Support,Full time,2026-05-14,"{'id': 1, 'name': 'IQD'} 0.00–0.00 / Monthly",https://jobs.krd/explore-jobs/Receptionist-2901,1,-3,1,1,3,0
Quality Inspector,FABYAB CO.,Erbil,Quality Assurance/Quality Control (QA/QC),Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Quality-Inspector-2900,0,-63,1,1,20,0
Follow-Up & Monitoring Employee,Ramos Company,Nineveh,Operations/Production,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Follow-Up-&-Monitoring-Employee-2894,0,-63,1,3,17,0
Follow up & Monitoring Employee,Ramos Company,Kirkuk,Sales,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Follow-up-&-Monitoring-Employee-2893,0,-63,1,2,21,0
HR Assistant,FABYAB CO.,Erbil,Human Resources,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/HR-Assistant-2899,0,-63,1,1,12,0
Quality Controller,FABYAB CO.,Erbil,Quality Assurance/Quality Control (QA/QC),Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Quality-Controller-2898,0,-63,1,1,20,0
Warehouse Worker,FABYAB CO.,Erbil,Facilities Management,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Warehouse-Worker-2897,0,-63,1,1,8,0
Warehouse Assistant,FABYAB CO.,Erbil,Facilities Management,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Warehouse-Assistant-2896,0,-63,1,1,8,0
Electrical Engineer,FABYAB CO.,Erbil,Engineering,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Electrical-Engineer-2895,0,-63,1,1,6,0
Mechanical Technician,FABYAB CO.,Erbil,Marketing,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Mechanical-Technician-2892,0,-63,1,1,15,0
Showroom Sales Agent,Maad Center,Erbil,Sales,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/showroom-sales-agent-2891,0,-63,1,1,21,0
Graphic Designer,BGT Company,Erbil,Unknown,Full time,2026-03-15,Not disclosed,https://jobs.krd/explore-jobs/Graphic-designer-2890,0,-63,1,1,28,0
Sales Representative (Cosmetics),Awe Company,Erbil,Sales,Full time,2026-03-12,700000.00–1000000.00 / Monthly,https://jobs.krd/explore-jobs/Sales-Representative-(Cosmetics)-2888,1,-66,1,1,21,0
Sales Executive,NRCO General Trading,Erbil,Sales,Full time,2026-03-12,Not disclosed,https://jobs.krd/explore-jobs/Sales-Executive-2887,0,-66,1,1,21,0
HR Business Partner,Kurdistan Foundation,Erbil,Human Resources,Full time,2026-03-12,Not disclosed,https://jobs.krd/explore-jobs/Kurdistan-Foundation-Officer-2886,0,-66,1,1,12,0
HR Business Partner,KRD Holding,Erbil,Human Resources,Full time,2026-03-12,Not disclosed,https://jobs.krd/explore-jobs/HR-Business-Partner-2883,0,-66,1,1,12,0
HR Recruiter,KRD Holding,Erbil,Human Resources,Full time,2026-03-12,Not disclosed,https://jobs.krd/explore-jobs/HR-Recruiter-2885,0,-66,1,1,12,0
Procurement Assistant,Virton Company,Erbil,Operations/Production,Full time,2026-03-11,Not disclosed,https://jobs.krd/explore-jobs/Procurement-Assistant-2882,0,-67,1,1,17,0
Consumer Brand Manager (Ahmad Tea),Bahar Holding,Sulaymaniyah,Marketing,Full time,2026-03-12,Not disclosed,https://jobs.krd/explore-jobs/Consumer-Brand-Manager-(Ahmad-Tea)-2880,0,-66,1,5,15,0
Social Media Content Creator,Family Mall Erbil,Erbil,Marketing,Full time,2026-03-10,Not disclosed,https://jobs.krd/explore-jobs/Social-Media-Content-Creator-2879,0,-68,1,1,15,0
Brand Face (Female),SafeClicks,Erbil,Marketing,Full time,2026-03-10,Not disclosed,https://jobs.krd/explore-jobs/Brand-Face-(Female)-2876,0,-68,1,1,15,0
Graphic Designer,Kano Printing Company,Duhok,Marketing,Full time,2026-03-10,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-2878,0,-68,1,0,15,0
Payments Processing Officer,VCG Markets,Erbil,Finance,Full time,2026-03-10,Not disclosed,https://jobs.krd/explore-jobs/Payments-Processing-Officer-2877,0,-68,1,1,9,0
Human Recourses Manager,ALSALT Hospitality,Erbil,Unknown,Full time,2026-03-09,Not disclosed,https://jobs.krd/explore-jobs/Human-Recourses-Manager-2874,0,-69,1,1,28,0
Salesperson (Female),MY LIMITED,Erbil,Sales,Part time,2026-03-31,Not disclosed,https://jobs.krd/explore-jobs/Salesperson-(Female)-2873,0,-47,2,1,21,0
Sales Representative (Male),Ramos Company,Duhok,Sales,Full time,2026-03-08,Not disclosed,https://jobs.krd/explore-jobs/Sales-Representative-(Male)-2871,0,-70,1,0,21,0
